FID,OBJECTID,ID,NAME,GPM,Enabled,Address,X,Y,Z,GPS_Date,Comments,POINT_X,POINT_Y
0,1,2,Well #2,490 GPM,1,24451 SE STARK ST,7712577.932740000076592,681544.906496000010520,90.923699999999997,4/10/2012 0:00:00,moved 72' north,7712562.507659999653697,681543.543532000039704
1,2,3,Well #3,300 GPM,1,1810 SW 257TH AVE,7715561.386149999685585,684406.308727000025101,71.586299999999994,4/10/2012 0:00:00,good gps location,7715545.661799999885261,684406.085051000001840
2,3,4,Well #4,600 GPM,1,340 SW 4TH ST,7717568.826120000332594,688050.918962999945506,22.187899999999999,4/10/2012 0:00:00,moved 20' east,7717553.391060000285506,688049.542986999964342
3,4,6,Well #6,400 GPM,1,3501 SE EVANS AVE,7720181.814629999920726,679944.780511999968439,48.500300000000003,4/10/2012 0:00:00,moved 9' west,7720166.374350000172853,679943.420748000033200
4,5,7,Well #7,600 GPM,1,1206 SE 26TH ST,7720934.455380000174046,681955.424868999980390,40.371600000000001,4/10/2012 0:00:00,moved 30' east,7720919.013589999638498,681954.061083000036888
5,6,8,Well #8,500 GPM,1,1206 SE 26TH ST,7720883.314960000105202,681839.437992000021040,42.753399999999999,4/10/2012 0:00:00,moved 7' southeast,7720867.873270000331104,681838.074438999989070
6,7,5,Well #5,2000 GPM,1,1297 SW ROYAL ANNE AVE,7714271.036419999785721,685772.041994999977760,70.964600000000004,4/10/2012 0:00:00,moved 26' east,7714245.581729999743402,685759.106951000052504
7,8,1,Well #1B,no service,1,2727 S TROUTDALE RD,7717918.324799999594688,682141.001968999975361,56.002600000000001,4/10/2012 0:00:00,moved 12' east,7717902.889039999805391,682139.637812000000849
8,9,1,Well #1A,no service,1,2727 S TROUTDALE RD,7717894.061350000090897,682119.973097000038251,50.470100000000002,4/10/2012 0:00:00,moved 16' south,7717878.625640000216663,682118.608983000041917
